date,cpia191406,cpia193908,cpia196609,cpia197709,cpia198212,cpia199305,cpia200005,cpia200512,cpia201012,ccpia
1914,100,72.9,32.3,19.2,15.4,11.1,10.5,9.9,9.5,
1915,113,82.4,36.5,21.6,17.4,12.5,11.8,11.2,10.8,13
1916,131,95.5,42.3,25.1,20.1,14.5,13.7,13,12.5,15.9
1917,163,118.8,52.6,31.2,25,18.1,17,16.2,15.5,24.4
1918,204,148.7,65.9,39.1,31.3,22.6,21.3,20.3,19.5,25.2
1919,222,161.8,71.7,42.5,34.1,24.6,23.2,22.1,21.2,8.8
1920,224,163.3,72.3,42.9,34.4,24.9,23.4,22.3,21.4,0.9
1921,200.3,146,64.7,38.4,30.8,22.2,20.9,19.9,19.1,-10.6
1922,163.9,119.5,52.9,31.4,25.2,18.2,17.1,16.3,15.6,-18.1
1923,163.8,119.4,52.9,31.4,25.2,18.2,17.1,16.3,15.6,-0.1
1924,168.8,123,54.5,32.3,25.9,18.7,17.6,16.8,16.1,3
1925,168.2,122.6,54.3,32.2,25.8,18.7,17.6,16.7,16,-0.3
1926,162.2,118.2,52.4,31.1,24.9,18,17,16.1,15.5,-3.6
1927,160.3,116.8,51.8,30.7,24.6,17.8,16.8,15.9,15.3,-1.1
1928,161,117.4,52,30.8,24.7,17.9,16.8,16,15.4,0.5
1929,161.2,117.5,52.1,30.9,24.8,17.9,16.9,16,15.4,0.1
1930,158.4,115.5,51.2,30.3,24.3,17.6,16.6,15.7,15.1,-1.7
1931,150.2,109.4,48.5,28.8,23.1,16.7,15.7,14.9,14.3,-5.2
1932,138.5,100.9,44.7,26.5,21.3,15.4,14.5,13.8,13.2,-7.8
1933,131.4,95.8,42.4,25.2,20.2,14.6,13.7,13.1,12.5,-5.1
1934,129.5,94.4,41.8,24.8,19.9,14.4,13.5,12.9,12.3,-1.5
1935,128.2,93.4,41.4,24.5,19.7,14.2,13.4,12.7,12.2,-1
1936,130.4,95,42.1,25,20,14.5,13.6,13,12.4,1.8
1937,136.7,99.7,44.2,26.2,21,15.2,14.3,13.6,13,4.8
1938,137,99.8,44.2,26.2,21,15.2,14.3,13.6,13.1,0.2
1939,138,100.6,44.6,26.4,21.2,15.3,14.4,13.7,13.2,0.8
1940,150.8,110,48.7,28.9,23.2,16.7,15.8,15,14.4,9.3
1941,173.9,126.8,56.2,33.3,26.7,19.3,18.2,17.3,16.6,15.3
1942,193.4,141,62.5,37,29.7,21.5,20.2,19.2,18.4,11.2
1943,203.2,148.1,65.6,38.9,31.2,22.5,21.3,20.2,19.4,5.1
1944,207.5,151.2,67,39.7,31.9,23,21.7,20.6,19.8,2.1
1945,208.9,152.3,67.5,40,32.1,23.2,21.8,20.8,19.9,0.7
1946,207.8,151.4,67.1,39.8,31.9,23.1,21.7,20.6,19.8,-0.6
1947,217.1,158.2,70.1,41.6,33.4,24.1,22.7,21.6,20.7,4.5
1948,223.6,162.9,72.2,42.8,34.3,24.8,23.4,22.2,21.3,3
1949,221.7,161.6,71.6,42.5,34.1,24.6,23.2,22,21.1,-0.8
1950,218.1,159.1,70.5,41.8,33.5,24.2,22.8,21.7,20.8,-1.6
1951,228.5,166.7,73.8,43.8,35.1,25.4,23.9,22.7,21.8,4.8
1952,234.4,171,75.7,44.9,36,26,24.5,23.3,22.4,2.5
1953,233,169.8,75.1,44.6,35.7,25.8,24.3,23.1,22.2,-0.7
1954,234.3,171,75.7,44.9,36,26,24.5,23.3,22.4,0.7
1955,236.7,172.6,76.4,45.3,36.3,26.2,24.7,23.5,22.6,0.9
1956,240.4,175.2,77.6,46,36.9,26.6,25.1,23.9,22.9,1.5
1957,245.1,178.6,79.1,46.9,37.6,27.2,25.6,24.3,23.4,2
1958,249.6,181.9,80.5,47.8,38.3,27.7,26.1,24.8,23.8,1.8
1959,248,180.7,80,47.5,38.1,27.5,25.9,24.6,23.6,-0.6
1960,251.6,183.3,81.1,48.1,38.6,27.9,26.3,25,24,1.4
1961,256.2,186.7,82.6,49,39.3,28.4,26.8,25.4,24.4,1.8
1962,267.2,194.8,86.2,51.1,41,29.6,27.9,26.5,25.5,4.3
1963,276.4,201.5,89.2,52.9,42.4,30.6,28.9,27.4,26.3,3.4
1964,285,207.7,91.9,54.5,43.7,31.6,29.8,28.3,27.2,3.1
1965,294.7,214.8,95.1,56.4,45.2,32.7,30.8,29.3,28.1,3.4
1966,308.7,225,99.6,59.1,47.4,34.2,32.3,30.7,29.4,4.8
1967,321.2,234.1,103.6,61.5,49.3,35.6,33.6,31.9,30.6,4
1968,328.9,239.8,106.1,62.9,50.5,36.5,34.4,32.7,31.3,2.4
1969,337.1,245.7,108.8,64.5,51.7,37.4,35.2,33.5,32.1,2.5
1970,349.3,254.6,112.7,66.9,53.6,38.7,36.5,34.7,33.3,3.6
1971,372.2,271.3,120.1,71.2,57.1,41.3,38.9,37,35.5,6.6
1972,397,289.4,128.1,76,60.9,44,41.5,39.4,37.8,6.7
1973,431.7,314.7,139.3,82.6,66.3,47.9,45.1,42.9,41.2,8.8
1974,473.8,345.4,152.9,90.7,72.8,52.5,49.5,47.1,45.2,9.8
1975,505.8,368.7,163.2,96.8,77.6,56.1,52.8,50.2,48.2,6.7
1976,514.4,375,166,98.5,79,57,53.8,51.1,49,1.7
1977,521.1,379.8,168.1,99.7,80,57.8,54.4,51.7,49.7,1.3
1978,526.5,383.8,169.9,100.8,80.8,58.4,55,52.3,50.2,1
1979,545.6,397.7,176,104.4,83.7,60.5,57,54.2,52,3.6
1980,567.6,413.7,183.1,108.6,87.1,62.9,59.3,56.4,54.1,4
1981,604.4,440.6,195,115.7,92.8,67,63.2,60,57.6,6.5
1982,638.6,465.5,206,122.2,98,70.8,66.7,63.4,60.9,5.7
1983,657.4,479.2,212.1,125.8,100.9,72.9,68.7,65.3,62.6,2.9
1984,676.6,493.2,218.3,129.5,103.9,75,70.7,67.2,64.5,2.9
1985,699.9,510.2,225.8,133.9,107.4,77.6,73.1,69.5,66.7,3.4
1986,705.1,514,227.5,134.9,108.2,78.2,73.7,70,67.2,0.8
1987,715.3,521.4,230.8,136.9,109.8,79.3,74.7,71,68.2,1.4
1988,728.7,531.2,235.1,139.5,111.8,80.8,76.1,72.3,69.4,1.9
1989,751.7,547.9,242.5,143.9,115.4,83.3,78.5,74.6,71.6,3.2
1990,792.3,577.5,255.6,151.6,121.6,87.8,82.8,78.7,75.5,5.4
1991,838.7,611.4,270.6,160.5,128.7,93,87.6,83.3,79.9,5.9
1992,872.6,636,281.5,167,133.9,96.7,91.2,86.6,83.2,4
1993,901.3,657,290.8,172.5,138.3,99.9,94.2,89.5,85.9,3.3
1994,909,662.6,293.3,174,139.5,100.8,95,90.3,86.6,0.9
1995,925.3,674.5,298.6,177.1,142,102.6,96.7,91.9,88.2,1.8
1996,932.9,680,301,178.5,143.2,103.4,97.5,92.6,88.9,0.8
1997,937.7,683.5,302.5,179.5,143.9,103.9,98,93.1,89.4,0.5
1998,937.9,683.6,302.6,179.5,144,104,98,93.1,89.4,0
1999,945.4,689.2,305,180.9,145.1,104.8,98.8,93.9,90.1,0.8
2000,960.2,699.9,309.8,183.8,147.4,106.4,100.3,95.3,91.5,1.6
2001,969.7,706.8,312.9,185.6,148.8,107.5,101.3,96.3,92.4,1
2002,975.9,711.4,314.9,186.8,149.8,108.2,102,96.9,93,0.6
2003,982.1,715.9,316.9,188,150.7,108.9,102.6,97.5,93.6,0.6
2004,990,721.7,319.4,189.5,152,109.7,103.4,98.3,94.3,0.8
2005,1001.6,730.1,323.2,191.7,153.7,111,104.7,99.4,95.5,1.2
2006,1012.2,737.8,326.6,193.7,155.4,112.2,105.8,100.5,96.5,1.1
2007,1019.6,743.3,329,195.1,156.5,113,106.5,101.2,97.2,0.7
2008,1044.4,761.3,337,199.9,160.3,115.8,109.1,103.7,99.5,2.4
2009,1039.4,757.6,335.3,198.9,159.5,115.2,108.6,103.2,99,-0.5
2010,1046.5,762.8,337.6,200.3,160.6,116,109.4,103.9,99.7,0.7
2011,1049,764.6,338.5,200.7,161,116.3,109.6,104.1,100,0.2
2012,1041.7,759.3,336.1,199.4,159.9,115.5,108.8,103.4,99.3,-0.7
2013,1039.4,757.7,335.4,198.9,159.5,115.2,108.6,103.2,99.1,-0.2
2014,1039.2,757.5,335.3,198.9,159.5,115.2,108.6,103.2,99,0
