"","price.raw.BFS_KANTON_NAME","price.raw.BFS_BEZIRK_ID","price.raw.BFS_BEZIRK_NAME"
"1","Aargau","1901","Bezirk Aarau"
"63","Aargau","1902","Bezirk Baden"
"125","Aargau","1903","Bezirk Bremgarten"
"187","Aargau","1904","Bezirk Brugg"
"249","Aargau","1905","Bezirk Kulm"
"311","Aargau","1906","Bezirk Laufenburg"
"373","Aargau","1907","Bezirk Lenzburg"
"435","Aargau","1908","Bezirk Muri"
"497","Aargau","1909","Bezirk Rheinfelden"
"559","Aargau","1910","Bezirk Zofingen"
"621","Aargau","1911","Bezirk Zurzach"
"683","Appenzell Ausserrhoden","1501","Bezirk Hinterland"
"743","Appenzell Ausserrhoden","1502","Bezirk Mittelland"
"805","Appenzell Ausserrhoden","1503","Bezirk Vorderland"
"865","Appenzell Innerrhoden","1600","Kanton Appenzell Innerrhoden"
"901","Basel-Landschaft","1301","Bezirk Arlesheim"
"963","Basel-Landschaft","1302","Bezirk Laufen"
"1023","Basel-Landschaft","1303","Bezirk Liestal"
"1085","Basel-Landschaft","1304","Bezirk Sissach"
"1147","Basel-Landschaft","1305","Bezirk Waldenburg"
"1206","Basel-Stadt","1200","Kanton Basel-Stadt"
"1268","Bern"," 241","Arrondissement administratif Jura bernois"
"1330","Bern"," 242","Verwaltungskreis Biel/Bienne"
"1392","Bern"," 243","Verwaltungskreis Seeland"
"1454","Bern"," 244","Verwaltungskreis Oberaargau"
"1516","Bern"," 245","Verwaltungskreis Emmental"
"1578","Bern"," 246","Verwaltungskreis Bern-Mittelland"
"1640","Bern"," 247","Verwaltungskreis Thun"
"1702","Bern"," 248","Verwaltungskreis Obersimmental-Saanen"
"1756","Bern"," 249","Verwaltungskreis Frutigen-Niedersimmental"
"1816","Bern"," 250","Verwaltungskreis Interlaken-Oberhasli"
"1878","Fribourg","1001","District de la Broye"
"1939","Fribourg","1002","District de la Glâne"
"1995","Fribourg","1003","District de la Gruyère"
"2055","Fribourg","1004","District de la Sarine"
"2116","Fribourg","1005","Bezirk See / District du Lac"
"2178","Fribourg","1006","Bezirk Sense"
"2233","Fribourg","1007","District de la Veveyse"
"2290","Genève","2500","Canton de Genève"
"2352","Glarus"," 800","Kanton Glarus"
"2412","Graubünden","1821","Bezirk Albula"
"2467","Graubünden","1822","Distretto di Bernina"
"2482","Graubünden","1823","Bezirk Hinterrhein"
"2534","Graubünden","1824","Bezirk Imboden"
"2587","Graubünden","1825","Bezirk Inn"
"2622","Graubünden","1826","Bezirk Landquart"
"2677","Graubünden","1827","Bezirk Maloja / Distretto di Maloggia"
"2716","Graubünden","1828","Distretto di Moesa"
"2752","Graubünden","1829","Bezirk Plessur"
"2813","Graubünden","1830","Bezirk Prättigau-Davos"
"2869","Graubünden","1831","Bezirk Surselva"
"2929","Jura","2601","District de Delémont"
"2990","Jura","2602","District des Franches-Montagnes"
"3033","Jura","2603","District de Porrentruy"
"3093","Luzern"," 311","Wahlkreis Luzern-Stadt"
"3145","Luzern"," 312","Wahlkreis Luzern-Land"
"3207","Luzern"," 313","Wahlkreis Hochdorf"
"3269","Luzern"," 314","Wahlkreis Sursee"
"3331","Luzern"," 315","Wahlkreis Willisau"
"3386","Luzern"," 316","Wahlkreis Entlebuch"
"3422","Neuchâtel","2401","District de Boudry"
"3483","Neuchâtel","2402","District de la Chaux-de-Fonds"
"3541","Neuchâtel","2403","District du Locle"
"3589","Neuchâtel","2404","District de Neuchâtel"
"3647","Neuchâtel","2405","District du Val-de-Ruz"
"3705","Neuchâtel","2406","District du Val-de-Travers"
"3746","Nidwalden"," 700","Kanton Nidwalden"
"3802","Obwalden"," 600","Kanton Obwalden"
"3850","Schaffhausen","1401","Bezirk Oberklettgau"
"3895","Schaffhausen","1402","Bezirk Reiat"
"3947","Schaffhausen","1403","Bezirk Schaffhausen"
"4009","Schaffhausen","1404","Bezirk Schleitheim"
"4036","Schaffhausen","1405","Bezirk Stein"
"4073","Schaffhausen","1406","Bezirk Unterklettgau"
"4107","Schwyz"," 501","Bezirk Einsiedeln"
"4159","Schwyz"," 502","Bezirk Gersau"
"4178","Schwyz"," 503","Bezirk Höfe"
"4239","Schwyz"," 504","Bezirk Küssnacht (SZ)"
"4286","Schwyz"," 505","Bezirk March"
"4348","Schwyz"," 506","Bezirk Schwyz"
"4409","Solothurn","1101","Bezirk Gäu"
"4461","Solothurn","1102","Bezirk Thal"
"4508","Solothurn","1103","Bezirk Bucheggberg"
"4558","Solothurn","1104","Bezirk Dorneck"
"4620","Solothurn","1105","Bezirk Gösgen"
"4682","Solothurn","1106","Bezirk Wasseramt"
"4744","Solothurn","1107","Bezirk Lebern"
"4806","Solothurn","1108","Bezirk Olten"
"4868","Solothurn","1109","Bezirk Solothurn"
"4929","Solothurn","1110","Bezirk Thierstein"
"4983","St. Gallen","1721","Wahlkreis St. Gallen"
"5045","St. Gallen","1722","Wahlkreis Rorschach"
"5104","St. Gallen","1723","Wahlkreis Rheintal"
"5165","St. Gallen","1724","Wahlkreis Werdenberg"
"5222","St. Gallen","1725","Wahlkreis Sarganserland"
"5281","St. Gallen","1726","Wahlkreis See-Gaster"
"5343","St. Gallen","1727","Wahlkreis Toggenburg"
"5405","St. Gallen","1728","Wahlkreis Wil"
"5465","Thurgau","2011","Bezirk Arbon"
"5524","Thurgau","2012","Bezirk Frauenfeld"
"5586","Thurgau","2013","Bezirk Kreuzlingen"
"5647","Thurgau","2014","Bezirk Münchwilen"
"5708","Thurgau","2015","Bezirk Weinfelden"
"5770","Ticino","2101","Distretto di Bellinzona"
"5829","Ticino","2102","Distretto di Blenio"
"5863","Ticino","2103","Distretto di Leventina"
"5902","Ticino","2104","Distretto di Locarno"
"5964","Ticino","2105","Distretto di Lugano"
"6026","Ticino","2106","Distretto di Mendrisio"
"6085","Ticino","2107","Distretto di Riviera"
"6128","Ticino","2108","Distretto di Vallemaggia"
"6163","Uri"," 400","Kanton Uri"
"6210","Valais","2301","Bezirk Brig"
"6261","Valais","2302","District de Conthey"
"6321","Valais","2303","District d'Entremont"
"6379","Valais","2304","Bezirk Goms"
"6425","Valais","2305","District d'Hérens"
"6484","Valais","2306","Bezirk Leuk"
"6522","Valais","2307","District de Martigny"
"6583","Valais","2308","District de Monthey"
"6645","Valais","2309","Bezirk Raron"
"6696","Valais","2310","District de Saint-Maurice"
"6749","Valais","2311","District de Sierre"
"6810","Valais","2312","District de Sion"
"6871","Valais","2313","Bezirk Visp"
"6917","Vaud","2221","District d'Aigle"
"6978","Vaud","2222","District de la Broye-Vully"
"7039","Vaud","2223","District du Gros-de-Vaud"
"7099","Vaud","2224","District du Jura-Nord vaudois"
"7160","Vaud","2225","District de Lausanne"
"7222","Vaud","2226","District de Lavaux-Oron"
"7284","Vaud","2227","District de Morges"
"7346","Vaud","2228","District de Nyon"
"7408","Vaud","2229","District de l'Ouest lausannois"
"7468","Vaud","2230","District de la Riviera-Pays-d'Enhaut"
"7528","Zug"," 900","Kanton Zug"
"7590","Zürich"," 101","Bezirk Affoltern"
"7652","Zürich"," 102","Bezirk Andelfingen"
"7714","Zürich"," 103","Bezirk Bülach"
"7776","Zürich"," 104","Bezirk Dielsdorf"
"7838","Zürich"," 105","Bezirk Hinwil"
"7900","Zürich"," 106","Bezirk Horgen"
"7962","Zürich"," 107","Bezirk Meilen"
"8024","Zürich"," 108","Bezirk Pfäffikon"
"8086","Zürich"," 109","Bezirk Uster"
"8148","Zürich"," 110","Bezirk Winterthur"
"8210","Zürich"," 111","Bezirk Dietikon"
"8272","Zürich"," 112","Bezirk Zürich"
