Date,1mCHFL,3mCHFL,6mCHFL,12mCHFL,1ySNB,2ySNB,3ySNB,4ySNB,5ySNB,6ySNB,7ySNB,8ySNB,9ySNB,10ySNB,20ySNB,30ySNB
26329,,,,,,,,,,,,,,,,
26358,,,,,,,,,,,,,,,,
26389,,,,,,,,,,,,,,,,
26419,,,,,,,,,,,,,,,,
26450,,,,,,,,,,,,,,,,
26480,,,,,,,,,,,,,,,,
26511,,,,,,,,,,,,,,,,
26542,,,,,,,,,,,,,,,,
26572,,,,,,,,,,,,,,,,
26603,,,,,,,,,,,,,,,,
26633,,,,,,,,,,,,,,,,
26664,,,,,,,,,,,,,,,,
26695,,,,,,,,,,,,,,,,
26723,,,,,,,,,,,,,,,,
26754,,,,,,,,,,,,,,,,
26784,,,,,,,,,,,,,,,,
26815,,,,,,,,,,,,,,,,
26845,,,,,,,,,,,,,,,,
26876,,,,,,,,,,,,,,,,
26907,,,,,,,,,,,,,,,,
26937,,,,,,,,,,,,,,,,
26968,,,,,,,,,,,,,,,,
26998,,,,,,,,,,,,,,,,
27029,,,,,,,,,,,,,,,,
27060,,,,,,,,,,,,,,,,
27088,,,,,,,,,,,,,,,,
27119,,,,,,,,,,,,,,,,
27149,,,,,,,,,,,,,,,,
27180,,,,,,,,,,,,,,,,
27210,,,,,,,,,,,,,,,,
27241,,,,,,,,,,,,,,,,
27272,,,,,,,,,,,,,,,,
27302,,,,,,,,,,,,,,,,
27333,,,,,,,,,,,,,,,,
27363,,,,,,,,,,,,,,,,
27394,,,,,,,,,,,,,,,,
27425,,,,,,,,,,,,,,,,
27453,,,,,,,,,,,,,,,,
27484,,,,,,,,,,,,,,,,
27514,,,,,,,,,,,,,,,,
27545,,,,,,,,,,,,,,,,
27575,,,,,,,,,,,,,,,,
27606,,,,,,,,,,,,,,,,
27637,,,,,,,,,,,,,,,,
27667,,,,,,,,,,,,,,,,
27698,,,,,,,,,,,,,,,,
27728,,,,,,,,,,,,,,,,
27759,,,,,,,,,,,,,,,,
27790,,,,,,,,,,,,,,,,
27819,,,,,,,,,,,,,,,,
27850,,,,,,,,,,,,,,,,
27880,,,,,,,,,,,,,,,,
27911,,,,,,,,,,,,,,,,
27941,,,,,,,,,,,,,,,,
27972,,,,,,,,,,,,,,,,
28003,,,,,,,,,,,,,,,,
28033,,,,,,,,,,,,,,,,
28064,,,,,,,,,,,,,,,,
28094,,,,,,,,,,,,,,,,
28125,,,,,,,,,,,,,,,,
28156,,,,,,,,,,,,,,,,
28184,,,,,,,,,,,,,,,,
28215,,,,,,,,,,,,,,,,
28245,,,,,,,,,,,,,,,,
28276,,,,,,,,,,,,,,,,
28306,,,,,,,,,,,,,,,,
28337,,,,,,,,,,,,,,,,
28368,,,,,,,,,,,,,,,,
28398,,,,,,,,,,,,,,,,
28429,,,,,,,,,,,,,,,,
28459,,,,,,,,,,,,,,,,
28490,,,,,,,,,,,,,,,,
28521,,,,,,,,,,,,,,,,
28549,,,,,,,,,,,,,,,,
28580,,,,,,,,,,,,,,,,
28610,,,,,,,,,,,,,,,,
28641,,,,,,,,,,,,,,,,
28671,,,,,,,,,,,,,,,,
28702,,,,,,,,,,,,,,,,
28733,,,,,,,,,,,,,,,,
28763,,,,,,,,,,,,,,,,
28794,,,,,,,,,,,,,,,,
28824,,,,,,,,,,,,,,,,
28855,,,,,,,,,,,,,,,,
28886,,,,,,,,,,,,,,,,
28914,,,,,,,,,,,,,,,,
28945,,,,,,,,,,,,,,,,
28975,,,,,,,,,,,,,,,,
29006,,,,,,,,,,,,,,,,
29036,,,,,,,,,,,,,,,,
29067,,,,,,,,,,,,,,,,
29098,,,,,,,,,,,,,,,,
29128,,,,,,,,,,,,,,,,
29159,,,,,,,,,,,,,,,,
29189,,,,,,,,,,,,,,,,
29220,,,,,,,,,,,,,,,,
29251,,,,,,,,,,,,,,,,
29280,,,,,,,,,,,,,,,,
29311,,,,,,,,,,,,,,,,
29341,,,,,,,,,,,,,,,,
29372,,,,,,,,,,,,,,,,
29402,,,,,,,,,,,,,,,,
29433,,,,,,,,,,,,,,,,
29464,,,,,,,,,,,,,,,,
29494,,,,,,,,,,,,,,,,
29525,,,,,,,,,,,,,,,,
29555,,,,,,,,,,,,,,,,
29586,,,,,,,,,,,,,,,,
29617,,,,,,,,,,,,,,,,
29645,,,,,,,,,,,,,,,,
29676,,,,,,,,,,,,,,,,
29706,,,,,,,,,,,,,,,,
29737,,,,,,,,,,,,,,,,
29767,,,,,,,,,,,,,,,,
29798,,,,,,,,,,,,,,,,
29829,,,,,,,,,,,,,,,,
29859,,,,,,,,,,,,,,,,
29890,,,,,,,,,,,,,,,,
29920,,,,,,,,,,,,,,,,
29951,,,,,,,,,,,,,,,,
29982,,,,,,,,,,,,,,,,
30010,,,,,,,,,,,,,,,,
30041,,,,,,,,,,,,,,,,
30071,,,,,,,,,,,,,,,,
30102,,,,,,,,,,,,,,,,
30132,,,,,,,,,,,,,,,,
30163,,,,,,,,,,,,,,,,
30194,,,,,,,,,,,,,,,,
30224,,,,,,,,,,,,,,,,
30255,,,,,,,,,,,,,,,,
30285,,,,,,,,,,,,,,,,
30316,,,,,,,,,,,,,,,,
30347,,,,,,,,,,,,,,,,
30375,,,,,,,,,,,,,,,,
30406,,,,,,,,,,,,,,,,
30436,,,,,,,,,,,,,,,,
30467,,,,,,,,,,,,,,,,
30497,,,,,,,,,,,,,,,,
30528,,,,,,,,,,,,,,,,
30559,,,,,,,,,,,,,,,,
30589,,,,,,,,,,,,,,,,
30620,,,,,,,,,,,,,,,,
30650,,,,,,,,,,,,,,,,
30681,,,,,,,,,,,,,,,,
30712,,,,,,,,,,,,,,,,
30741,,,,,,,,,,,,,,,,
30772,,,,,,,,,,,,,,,,
30802,,,,,,,,,,,,,,,,
30833,,,,,,,,,,,,,,,,
30863,,,,,,,,,,,,,,,,
30894,,,,,,,,,,,,,,,,
30925,,,,,,,,,,,,,,,,
30955,,,,,,,,,,,,,,,,
30986,,,,,,,,,,,,,,,,
31016,,,,,,,,,,,,,,,,
31047,,,,,,,,,,,,,,,,
31078,,,,,,,,,,,,,,,,
31106,,,,,,,,,,,,,,,,
31137,,,,,,,,,,,,,,,,
31167,,,,,,,,,,,,,,,,
31198,,,,,,,,,,,,,,,,
31228,,,,,,,,,,,,,,,,
31259,,,,,,,,,,,,,,,,
31290,,,,,,,,,,,,,,,,
31320,,,,,,,,,,,,,,,,
31351,,,,,,,,,,,,,,,,
31381,,,,,,,,,,,,,,,,
31412,,,,,,,,,,,,,,,,
31443,,,,,,,,,,,,,,,,
31471,,,,,,,,,,,,,,,,
31502,,,,,,,,,,,,,,,,
31532,,,,,,,,,,,,,,,,
31563,,,,,,,,,,,,,,,,
31593,,,,,,,,,,,,,,,,
31624,,,,,,,,,,,,,,,,
31655,,,,,,,,,,,,,,,,
31685,,,,,,,,,,,,,,,,
31716,,,,,,,,,,,,,,,,
31746,,,,,,,,,,,,,,,,
31777,,,,,,,,,,,,,,,,
31808,,,,,,,,,,,,,,,,
31836,,,,,,,,,,,,,,,,
31867,,,,,,,,,,,,,,,,
31897,,,,,,,,,,,,,,,,
31928,,,,,,,,,,,,,,,,
31958,,,,,,,,,,,,,,,,
31989,,,,,,,,,,,,,,,,
32020,,,,,,,,,,,,,,,,
32050,,,,,,,,,,,,,,,,
32081,,,,,,,,,,,,,,,,
32111,,,,,,,,,,,,,,,,
32142,,,,,,,,,,,,,,,,
32173,,,,,2.887,3.218,3.393,3.554,3.695,3.81,3.904,3.98,4.041,4.092,4.326,
32202,,,,,2.638,2.99,3.271,3.498,3.672,3.804,3.905,3.984,4.047,4.098,4.332,
32233,,,,,2.641,3.263,3.573,3.734,3.823,3.878,3.916,3.946,3.972,3.998,4.255,
32263,,,,,2.8,3.25,3.467,3.594,3.684,3.757,3.819,3.874,3.923,3.965,4.2,
32294,,,,,3.191,3.602,3.802,3.909,3.974,4.019,4.054,4.082,4.106,4.127,4.247,
32324,,,,,3.642,3.707,3.764,3.83,3.897,3.96,4.017,4.069,4.115,4.155,4.38,
32355,,,,,4.161,4.195,4.206,4.212,4.215,4.218,4.219,4.221,4.222,4.222,4.226,
32386,,,,,4.044,3.959,3.943,3.981,4.037,4.096,4.153,4.204,4.251,4.292,4.498,
32416,,,,,3.814,3.798,3.871,3.962,4.041,4.105,4.156,4.197,4.23,4.257,4.381,
32447,,,,,4.108,4.157,4.089,4.025,3.986,3.967,3.965,3.974,3.991,4.014,4.406,
32477,,,,,4.506,4.29,4.144,4.054,4.003,3.981,3.979,3.991,4.013,4.042,4.387,
32508,,,,,4.691,4.425,4.24,4.131,4.074,4.05,4.048,4.06,4.081,4.107,4.374,
32539,5.6875,5.875,5.9375,5.9375,5.651,5.14,4.862,4.727,4.653,4.606,4.574,4.55,4.531,4.517,4.45,
32567,6,6.125,6.25,6.25,6.079,5.522,5.202,5.03,4.926,4.857,4.808,4.771,4.742,4.719,4.615,
32598,5.6875,5.875,6.125,6.20313,5.993,5.473,5.179,5.035,4.954,4.901,4.864,4.836,4.815,4.798,4.72,
32628,6.625,6.625,6.625,6.625,6.443,5.845,5.439,5.231,5.132,5.086,5.066,5.058,5.055,5.054,5.061,
32659,8.4375,8.25,8,7.8125,7.446,6.476,5.926,5.639,5.483,5.392,5.334,5.294,5.265,5.242,5.143,
32689,7.5625,7.5,7.375,7.25,6.922,6.019,5.455,5.178,5.066,5.035,5.041,5.06,5.083,5.105,5.229,
32720,7.125,7,6.875,6.79688,6.397,5.618,5.273,5.153,5.123,5.125,5.136,5.15,5.162,5.173,5.226,
32751,7.5,7.5,7.5,7.375,7.07,6.145,5.567,5.297,5.19,5.159,5.158,5.168,5.182,5.195,5.265,
32781,7.75,7.9375,7.9375,7.8125,7.606,6.648,5.979,5.625,5.451,5.37,5.332,5.317,5.312,5.311,5.331,
32812,7.875,8,8,7.9375,7.534,6.571,6.029,5.743,5.581,5.482,5.417,5.371,5.337,5.31,5.195,
32842,7.8125,7.9375,7.9375,7.875,7.456,6.45,5.92,5.689,5.582,5.526,5.491,5.468,5.45,5.437,5.376,
32873,9.375,9.1875,8.875,8.625,8.069,6.736,6.128,5.875,5.764,5.707,5.673,5.649,5.632,5.618,5.556,
32904,9.625,9.6875,9.625,9.4375,9.093,7.649,6.841,6.456,6.269,6.172,6.117,6.082,6.058,6.04,5.967,
32932,9.1875,9.3125,9.375,9.375,8.788,7.785,7.236,6.918,6.714,6.575,6.474,6.398,6.339,6.292,6.079,
32963,8.9375,9,9,9.0625,8.683,7.734,7.163,6.871,6.717,6.627,6.57,6.529,6.499,6.475,6.37,
32993,9.375,9.375,9.375,9.375,8.971,7.831,7.182,6.881,6.745,6.683,6.655,6.641,6.633,6.629,6.619,
33024,8.8125,8.8125,8.75,8.625,8.014,6.923,6.531,6.402,6.355,6.333,6.321,6.312,6.305,6.3,6.277,
33054,9.0625,9,8.875,8.5,8.123,6.988,6.508,6.323,6.246,6.208,6.184,6.168,6.156,6.147,6.105,
33085,8.96875,8.95313,8.9375,8.625,8.263,6.931,6.347,6.143,6.08,6.065,6.065,6.069,6.074,6.078,6.1,
33116,8.375,8.625,8.6875,8.6875,8.321,7.38,6.885,6.665,6.566,6.52,6.5,6.49,6.486,6.484,6.484,
33146,7.9375,8.25,8.375,8.4375,7.952,7.071,6.717,6.598,6.555,6.536,6.525,6.518,6.513,6.509,6.491,
33177,8.125,8.3125,8.375,8.375,7.796,6.983,6.695,6.595,6.553,6.531,6.516,6.506,6.498,6.491,6.463,
33207,8.98438,8.9375,8.75,8.625,8.36,7.363,6.923,6.753,6.677,6.635,6.609,6.589,6.574,6.563,6.51,
33238,8.75,8.75,8.75,8.5625,8.152,7.358,6.927,6.728,6.643,6.609,6.598,6.596,6.598,6.601,6.623,
33269,8.125,8.125,8.125,8.0625,7.755,6.952,6.574,6.44,6.402,6.395,6.399,6.404,6.41,6.415,6.438,
33297,8.3125,8.25,8.125,7.875,7.66,6.925,6.534,6.352,6.271,6.236,6.223,6.219,6.219,6.221,6.237,
33328,8.75,8.625,8.4375,8,7.629,6.702,6.355,6.231,6.185,6.167,6.16,6.157,6.156,6.155,6.152,
33358,8.625,8.625,8.5,8.1875,7.81,6.851,6.424,6.237,6.146,6.096,6.065,6.044,6.028,6.016,5.961,
33389,8,8,8,7.875,7.544,6.61,6.129,5.925,5.844,5.814,5.806,5.806,5.809,5.813,5.838,
33419,7.9375,8,8,7.875,7.644,6.753,6.25,6.039,5.964,5.945,5.946,5.954,5.963,5.971,6.015,
33450,7.82813,7.9375,8,7.875,7.451,6.695,6.36,6.204,6.123,6.076,6.045,6.024,6.008,5.996,5.941,
33481,8.14063,8.0625,8,7.875,7.501,6.775,6.463,6.324,6.248,6.2,6.167,6.142,6.122,6.107,6.036,
33511,8.1875,8.25,8.1875,8,7.39,6.661,6.445,6.353,6.301,6.266,6.242,6.223,6.209,6.198,6.146,
33542,8.04688,8.375,8.375,8.375,7.839,7.26,7.048,6.944,6.88,6.834,6.795,6.761,6.729,6.698,6.384,
33572,8.1875,8.125,8.0625,7.9375,7.636,7.056,6.809,6.701,6.653,6.634,6.629,6.629,6.633,6.637,6.67,
33603,8.125,8.1875,8.1875,8,7.415,6.578,6.379,6.349,6.35,6.356,6.361,6.365,6.368,6.37,6.382,
33634,7.5,7.5,7.5,7.4375,7.22,6.627,6.304,6.179,6.143,6.14,6.147,6.157,6.167,6.175,6.214,
33663,7.75,7.6875,7.625,7.4375,7.242,6.697,6.419,6.288,6.222,6.186,6.164,6.15,6.14,6.132,6.099,
33694,9.0625,8.9375,8.6875,8.375,7.917,6.938,6.608,6.536,6.546,6.576,6.608,6.635,6.658,6.676,6.762,
33724,9,8.875,8.75,8.4375,8.104,7.228,6.854,6.705,6.639,6.604,6.581,6.566,6.554,6.545,6.503,
33755,9.625,9.4375,9.15625,8.875,8.494,7.522,7.071,6.89,6.828,6.815,6.821,6.834,6.848,6.861,6.93,
33785,9.25,9.25,9.1875,8.875,8.513,7.622,7.27,7.122,7.048,7.004,6.975,6.953,6.937,6.924,6.865,
33816,8.59375,8.625,8.625,8.5,8.322,7.65,7.31,7.143,7.048,6.987,6.944,6.912,6.887,6.867,6.778,
33847,7.76563,7.875,7.875,7.82813,7.7,7.292,7.061,6.959,6.913,6.889,6.875,6.866,6.859,6.854,6.83,
33877,6.96875,6.98438,7,6.8125,6.959,6.779,6.606,6.478,6.393,6.341,6.312,6.298,6.292,6.292,6.33,
33908,6.375,6.375,6.35938,6.0625,5.95,5.821,5.791,5.816,5.865,5.923,5.979,6.028,6.065,6.092,5.851,
33938,7.0625,6.70313,6.42188,6.01563,6.064,5.887,5.845,5.867,5.913,5.963,6.006,6.038,6.056,6.063,5.762,
33969,6.14063,6,5.8125,5.5625,5.797,5.529,5.433,5.428,5.466,5.519,5.573,5.619,5.655,5.68,5.526,
34000,5.4375,5.4375,5.40625,5.1875,5.139,5.114,5.14,5.195,5.263,5.333,5.399,5.456,5.503,5.539,5.36,
34028,5.625,5.5,5.25,4.9375,4.894,4.785,4.826,4.872,4.899,4.911,4.914,4.913,4.91,4.907,4.888,
34059,5.42188,5.1875,4.9375,4.625,4.509,4.444,4.475,4.522,4.566,4.602,4.631,4.654,4.673,4.688,4.756,
34089,5.26563,5.125,4.875,4.59375,4.47,4.267,4.346,4.473,4.582,4.666,4.729,4.777,4.815,4.845,4.981,
34120,5.1875,5.15625,5,4.8125,4.626,4.257,4.239,4.348,4.474,4.584,4.673,4.743,4.8,4.846,5.054,
34150,5.15625,5.03125,4.84375,4.60938,4.54,4.364,4.352,4.389,4.432,4.471,4.503,4.529,4.549,4.566,4.643,
34181,4.75,4.6875,4.625,4.5,4.317,4.259,4.308,4.376,4.434,4.479,4.51,4.53,4.542,4.546,4.39,
34212,5,4.8125,4.625,4.4375,4.336,4.225,4.268,4.335,4.392,4.432,4.457,4.471,4.478,4.479,4.418,
34242,4.75,4.75,4.5625,4.3125,4.213,4.111,4.132,4.195,4.264,4.325,4.374,4.411,4.438,4.455,4.379,
34273,4.625,4.5625,4.375,4.125,3.999,3.888,3.926,3.993,4.056,4.105,4.142,4.17,4.192,4.208,4.268,
34303,4.75,4.5,4.25,4,3.867,3.767,3.831,3.927,4.015,4.087,4.143,4.186,4.22,4.247,4.368,
34334,4.3125,4.125,3.9375,3.75,3.552,3.457,3.534,3.658,3.781,3.886,3.971,4.039,4.093,4.136,4.321,
34365,4.3125,4.07813,3.9375,3.75,3.653,3.543,3.613,3.733,3.854,3.957,4.042,4.109,4.163,4.206,4.391,
34393,4.25,4.17188,4.09375,4,3.806,3.686,3.807,3.969,4.109,4.22,4.305,4.371,4.423,4.465,4.654,
34424,4.25,4.1875,4.125,4.0625,3.941,3.948,4.035,4.146,4.258,4.358,4.445,4.519,4.582,4.634,4.889,
34454,3.95313,4,4,4,4.033,4.193,4.347,4.49,4.621,4.737,4.839,4.926,5.001,5.062,5.203,
34485,4.29688,4.25,4.25,4.26563,4.045,3.978,4.131,4.334,4.523,4.681,4.807,4.907,4.984,5.046,5.307,
34515,4.25,4.32813,4.4375,4.64063,4.367,4.343,4.513,4.721,4.897,5.034,5.139,5.219,5.283,5.334,5.565,
34546,4.3125,4.375,4.5,4.625,4.452,4.449,4.552,4.701,4.846,4.97,5.071,5.153,5.219,5.273,5.523,
34577,4.1875,4.3125,4.5,4.76563,4.605,4.776,4.919,5.049,5.16,5.253,5.33,5.394,5.447,5.492,5.713,
34607,3.9375,4.1875,4.34375,4.75,4.535,4.843,5.04,5.188,5.306,5.402,5.48,5.543,5.594,5.636,5.821,
34638,3.75,4.0625,4.1875,4.625,4.336,4.761,5.021,5.188,5.302,5.385,5.45,5.504,5.551,5.594,5.869,
34668,3.875,4.01563,4.25,4.5625,4.424,4.723,4.915,5.051,5.148,5.218,5.271,5.311,5.343,5.368,5.483,
34699,3.98438,4.29688,4.5,4.79688,4.586,4.718,4.842,4.957,5.051,5.126,5.186,5.234,5.272,5.304,5.45,
34730,3.8125,4,4.25,4.5625,4.423,4.64,4.799,4.932,5.04,5.125,5.192,5.245,5.287,5.322,5.483,
34758,3.625,3.875,4.0625,4.4375,4.259,4.595,4.791,4.93,5.036,5.12,5.188,5.243,5.288,5.325,5.499,
34789,3.5,3.5,3.625,3.75,3.812,4.2,4.467,4.662,4.808,4.92,5.007,5.077,5.133,5.179,5.393,
34819,3.4375,3.5,3.5625,3.6875,3.644,3.955,4.206,4.41,4.574,4.707,4.815,4.902,4.974,5.033,5.314,
34850,3.25,3.26563,3.32813,3.4375,3.48,3.815,4.069,4.268,4.426,4.554,4.658,4.743,4.814,4.873,5.162,
34880,3.125,3.125,3.20313,3.39063,3.322,3.682,3.969,4.201,4.39,4.545,4.671,4.776,4.863,4.936,5.289,
34911,2.625,2.73438,2.875,3.0625,3.034,3.46,3.799,4.069,4.284,4.455,4.592,4.701,4.788,4.859,5.127,
34942,2.875,2.875,2.875,2.9375,3.065,3.461,3.748,3.976,4.164,4.319,4.449,4.558,4.651,4.73,5.135,
34972,2.46875,2.48438,2.48438,2.48438,2.58,2.945,3.248,3.52,3.761,3.971,4.153,4.308,4.441,4.555,5.129,
35003,2,2.07813,2.09375,2.125,2.187,2.758,3.117,3.392,3.623,3.821,3.992,4.14,4.268,4.38,4.967,
