Swiss national bank,,,,,,,,,,,,,,,,,,
Interest rates and exchange rates July 2015,,,,,,,,,,,,,,,,,,
Interest rates and exchange rates,,,,,,,,,,,,,,,,,,
 Money and capital market rates (end of month),,,,,,,,,,,,,,,,,,
Selected money and capital market rates (end of month) (monthly),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note: In order to fully understand the values in this file, it is",,,,,,,,,,,,,,,,,,
necessary to consult the corresponding publication document.,,,,,,,,,,,,,,,,,,
The available file does not contain any information about,,,,,,,,,,,,,,,,,,
"indices, footnotes etc..",,,,,,,,,,,,,,,,,,
A link to the appropriate PDF file can be found on the same web page,,,,,,,,,,,,,,,,,,
as the link to this file.,,,,,,,,,,,,,,,,,,
"For copyright reasons, the downloading of data series is restricted.",,,,,,,,,,,,,,,,,,
"In blocked time series, ""x"" is shown instead of the data.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Legend:,"M (missing) describes a ""."" in the publication;",,,,,,,,,,,,,,,,,
,"Z (zero) describes a ""-"" in the publication.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CHF,,,,,,,,,,,,,,,,,
,Money market rates,,,,,Yields  of the Confederation bonds – Yields on pure discount papers,,,,,,,,,,,,
,Zurich T/N,"London, Libor",,,,1 year,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years,20 years,30 years,
,Call money,1 month,3 months,6 months,12 months,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1972 01,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 02,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 03,0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 04,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 05,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 06,1.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 07,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 08,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 09,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 10,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 11,4.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1972 12,4.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 01,2.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 02,4.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 03,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 04,0.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 05,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 06,15.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 07,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 08,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 09,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 10,4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 11,8.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1973 12,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 01,3.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 02,5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 03,4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 04,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 05,4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 06,4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 07,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 08,6,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 09,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 10,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 11,3,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1974 12,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 01,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 02,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 03,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 04,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 05,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 06,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 07,3,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 08,0.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 09,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 10,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 11,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1975 12,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 01,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 02,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 03,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 04,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 05,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 06,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 07,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 08,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 09,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 10,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 11,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1976 12,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 01,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 02,0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 03,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 04,3.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 05,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 06,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 07,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 08,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 09,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 10,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 11,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1977 12,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 01,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 02,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 03,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 04,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 05,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 06,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 07,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 08,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 09,-1.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 10,-0.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 11,-0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1978 12,-0.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 01,-0.0625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 02,-0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 03,-0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 04,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 05,1.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 06,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 07,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 08,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 09,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 10,0.3125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 11,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1979 12,0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 01,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 02,2.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 03,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 04,3.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 05,0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 06,1.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 07,2.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 08,2.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 09,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 10,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 11,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1980 12,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 01,0.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 02,6.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 03,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 04,5.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 05,0.3125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 06,1.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 07,0.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 08,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 09,3.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 10,3.1875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 11,2.0625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1981 12,4.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 01,3.1875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 02,4.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 03,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 04,1.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 05,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 06,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 07,0.5625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 08,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 09,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 10,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 11,1.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1982 12,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 01,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 02,0.6875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 03,3.0625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 04,0.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 05,2.6875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 06,2.1875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 07,2.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 08,1.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 09,0.375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 10,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 11,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1983 12,0.9375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 01,0.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 02,0.9375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 03,0.9375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 04,2.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 05,0.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 06,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 07,1.9375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 08,0.8125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 09,0.5625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 10,1.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 11,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1984 12,6.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 01,1.1875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 02,1.625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 03,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 04,0.6875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 05,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 06,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 07,0.6875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 08,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 09,0.0625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 10,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 11,0.6875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1985 12,1.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 01,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 02,2.125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 03,1.8125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 04,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 05,0.8125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 06,0.9375,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 07,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 08,1.5625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 09,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 10,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 11,0.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1986 12,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 01,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 02,2.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 03,0.875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 04,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 05,1.5625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 06,2.8125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 07,2.3125,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 08,1.5625,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 09,0.75,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 10,1.1875,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 11,1.25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1987 12,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
1988 01,0.5625,M,M,M,M,2.887,3.218,3.393,3.554,3.695,3.81,3.904,3.98,4.041,4.092,4.326,M,
1988 02,0.5625,M,M,M,M,2.638,2.99,3.271,3.498,3.672,3.804,3.905,3.984,4.047,4.098,4.332,M,
1988 03,1.375,M,M,M,M,2.641,3.263,3.573,3.734,3.823,3.878,3.916,3.946,3.972,3.998,4.255,M,
1988 04,1.75,M,M,M,M,2.8,3.25,3.467,3.594,3.684,3.757,3.819,3.874,3.923,3.965,4.2,M,
1988 05,2.75,M,M,M,M,3.191,3.602,3.802,3.909,3.974,4.019,4.054,4.082,4.106,4.127,4.247,M,
1988 06,3.25,M,M,M,M,3.642,3.707,3.764,3.83,3.897,3.96,4.017,4.069,4.115,4.155,4.38,M,
1988 07,2.6875,M,M,M,M,4.161,4.195,4.206,4.212,4.215,4.218,4.219,4.221,4.222,4.222,4.226,M,
1988 08,3.0625,M,M,M,M,4.044,3.959,3.943,3.981,4.037,4.096,4.153,4.204,4.251,4.292,4.498,M,
1988 09,2.25,M,M,M,M,3.814,3.798,3.871,3.962,4.041,4.105,4.156,4.197,4.23,4.257,4.381,M,
1988 10,3.4375,M,M,M,M,4.108,4.157,4.089,4.025,3.986,3.967,3.965,3.974,3.991,4.014,4.406,M,
1988 11,4.5,M,M,M,M,4.506,4.29,4.144,4.054,4.003,3.981,3.979,3.991,4.013,4.042,4.387,M,
1988 12,4.6875,M,M,M,M,4.691,4.425,4.24,4.131,4.074,4.05,4.048,4.06,4.081,4.107,4.374,M,
1989 01,5,5.6875,5.875,5.9375,5.9375,5.651,5.14,4.862,4.727,4.653,4.606,4.574,4.55,4.531,4.517,4.45,M,
1989 02,4.875,6,6.125,6.25,6.25,6.079,5.522,5.202,5.03,4.926,4.857,4.808,4.771,4.742,4.719,4.615,M,
1989 03,4.75,5.6875,5.875,6.125,6.20313,5.993,5.473,5.179,5.035,4.954,4.901,4.864,4.836,4.815,4.798,4.72,M,
1989 04,6.125,6.625,6.625,6.625,6.625,6.443,5.845,5.439,5.231,5.132,5.086,5.066,5.058,5.055,5.054,5.061,M,
1989 05,8.1875,8.4375,8.25,8,7.8125,7.446,6.476,5.926,5.639,5.483,5.392,5.334,5.294,5.265,5.242,5.143,M,
1989 06,7.5,7.5625,7.5,7.375,7.25,6.922,6.019,5.455,5.178,5.066,5.035,5.041,5.06,5.083,5.105,5.229,M,
1989 07,7,7.125,7,6.875,6.79688,6.397,5.618,5.273,5.153,5.123,5.125,5.136,5.15,5.162,5.173,5.226,M,
1989 08,7.0625,7.5,7.5,7.5,7.375,7.07,6.145,5.567,5.297,5.19,5.159,5.158,5.168,5.182,5.195,5.265,M,
1989 09,7,7.75,7.9375,7.9375,7.8125,7.606,6.648,5.979,5.625,5.451,5.37,5.332,5.317,5.312,5.311,5.331,M,
1989 10,7.375,7.875,8,8,7.9375,7.534,6.571,6.029,5.743,5.581,5.482,5.417,5.371,5.337,5.31,5.195,M,
1989 11,7.375,7.8125,7.9375,7.9375,7.875,7.456,6.45,5.92,5.689,5.582,5.526,5.491,5.468,5.45,5.437,5.376,M,
1989 12,9.6875,9.375,9.1875,8.875,8.625,8.069,6.736,6.128,5.875,5.764,5.707,5.673,5.649,5.632,5.618,5.556,M,
1990 01,8.625,9.625,9.6875,9.625,9.4375,9.093,7.649,6.841,6.456,6.269,6.172,6.117,6.082,6.058,6.04,5.967,M,
1990 02,8.6875,9.1875,9.3125,9.375,9.375,8.788,7.785,7.236,6.918,6.714,6.575,6.474,6.398,6.339,6.292,6.079,M,
1990 03,8.5,8.9375,9,9,9.0625,8.683,7.734,7.163,6.871,6.717,6.627,6.57,6.529,6.499,6.475,6.37,M,
1990 04,8.625,9.375,9.375,9.375,9.375,8.971,7.831,7.182,6.881,6.745,6.683,6.655,6.641,6.633,6.629,6.619,M,
1990 05,8.875,8.8125,8.8125,8.75,8.625,8.014,6.923,6.531,6.402,6.355,6.333,6.321,6.312,6.305,6.3,6.277,M,
1990 06,8.9375,9.0625,9,8.875,8.5,8.123,6.988,6.508,6.323,6.246,6.208,6.184,6.168,6.156,6.147,6.105,M,
1990 07,8.5625,8.96875,8.95313,8.9375,8.625,8.263,6.931,6.347,6.143,6.08,6.065,6.065,6.069,6.074,6.078,6.1,M,
1990 08,7.125,8.375,8.625,8.6875,8.6875,8.321,7.38,6.885,6.665,6.566,6.52,6.5,6.49,6.486,6.484,6.484,M,
1990 09,7.25,7.9375,8.25,8.375,8.4375,7.952,7.071,6.717,6.598,6.555,6.536,6.525,6.518,6.513,6.509,6.491,M,
1990 10,7.625,8.125,8.3125,8.375,8.375,7.796,6.983,6.695,6.595,6.553,6.531,6.516,6.506,6.498,6.491,6.463,M,
1990 11,7.3125,8.98438,8.9375,8.75,8.625,8.36,7.363,6.923,6.753,6.677,6.635,6.609,6.589,6.574,6.563,6.51,M,
1990 12,8.75,8.75,8.75,8.75,8.5625,8.152,7.358,6.927,6.728,6.643,6.609,6.598,6.596,6.598,6.601,6.623,M,
1991 01,7.625,8.125,8.125,8.125,8.0625,7.755,6.952,6.574,6.44,6.402,6.395,6.399,6.404,6.41,6.415,6.438,M,
1991 02,8.1875,8.3125,8.25,8.125,7.875,7.66,6.925,6.534,6.352,6.271,6.236,6.223,6.219,6.219,6.221,6.237,M,
1991 03,8.6875,8.75,8.625,8.4375,8,7.629,6.702,6.355,6.231,6.185,6.167,6.16,6.157,6.156,6.155,6.152,M,
1991 04,8.4375,8.625,8.625,8.5,8.1875,7.81,6.851,6.424,6.237,6.146,6.096,6.065,6.044,6.028,6.016,5.961,M,
1991 05,7.375,8,8,8,7.875,7.544,6.61,6.129,5.925,5.844,5.814,5.806,5.806,5.809,5.813,5.838,M,
1991 06,7.5,7.9375,8,8,7.875,7.644,6.753,6.25,6.039,5.964,5.945,5.946,5.954,5.963,5.971,6.015,M,
1991 07,7.5,7.82813,7.9375,8,7.875,7.451,6.695,6.36,6.204,6.123,6.076,6.045,6.024,6.008,5.996,5.941,M,
1991 08,7.75,8.14063,8.0625,8,7.875,7.501,6.775,6.463,6.324,6.248,6.2,6.167,6.142,6.122,6.107,6.036,M,
1991 09,8.3125,8.1875,8.25,8.1875,8,7.39,6.661,6.445,6.353,6.301,6.266,6.242,6.223,6.209,6.198,6.146,M,
1991 10,6.5,8.04688,8.375,8.375,8.375,7.839,7.26,7.048,6.944,6.88,6.834,6.795,6.761,6.729,6.698,6.384,M,
1991 11,7.0625,8.1875,8.125,8.0625,7.9375,7.636,7.056,6.809,6.701,6.653,6.634,6.629,6.629,6.633,6.637,6.67,M,
1991 12,7.5625,8.125,8.1875,8.1875,8,7.415,6.578,6.379,6.349,6.35,6.356,6.361,6.365,6.368,6.37,6.382,M,
1992 01,7.125,7.5,7.5,7.5,7.4375,7.22,6.627,6.304,6.179,6.143,6.14,6.147,6.157,6.167,6.175,6.214,M,
1992 02,7.5,7.75,7.6875,7.625,7.4375,7.242,6.697,6.419,6.288,6.222,6.186,6.164,6.15,6.14,6.132,6.099,M,
1992 03,9,9.0625,8.9375,8.6875,8.375,7.917,6.938,6.608,6.536,6.546,6.576,6.608,6.635,6.658,6.676,6.762,M,
1992 04,8.625,9,8.875,8.75,8.4375,8.104,7.228,6.854,6.705,6.639,6.604,6.581,6.566,6.554,6.545,6.503,M,
1992 05,9.625,9.625,9.4375,9.15625,8.875,8.494,7.522,7.071,6.89,6.828,6.815,6.821,6.834,6.848,6.861,6.93,M,
1992 06,8.75,9.25,9.25,9.1875,8.875,8.513,7.622,7.27,7.122,7.048,7.004,6.975,6.953,6.937,6.924,6.865,M,
1992 07,8.25,8.59375,8.625,8.625,8.5,8.322,7.65,7.31,7.143,7.048,6.987,6.944,6.912,6.887,6.867,6.778,M,
1992 08,7.375,7.76563,7.875,7.875,7.82813,7.7,7.292,7.061,6.959,6.913,6.889,6.875,6.866,6.859,6.854,6.83,M,
1992 09,7,6.96875,6.98438,7,6.8125,6.959,6.779,6.606,6.478,6.393,6.341,6.312,6.298,6.292,6.292,6.33,M,
1992 10,6.25,6.375,6.375,6.35938,6.0625,5.95,5.821,5.791,5.816,5.865,5.923,5.979,6.028,6.065,6.092,5.851,M,
